あ,亜,亜,亞
あいあい,相合い,相合,相合い
あいあいがさ,相合い傘,相合い傘,相合傘
あいいろ,藍色,あい色,藍いろ,藍色
あいいん,合印,合い印,合印
あいうち,相打ち,相打ち,相撃
あいかぎ,合鍵,合いかぎ,合い鍵,合鍵
あいかた,合方,合い方,合方
あいがかり,相懸かり,相がかり,相懸かり
あいがき,合い欠き,合い欠き,相がき
あいがめ,藍瓶,藍瓶,藍甕
あいがも,合い鴨,合い鴨,合鴨,間鴨
あいがん,哀願,哀願,愛がん
あいがん,愛玩,愛玩,愛翫
あいきょう,愛敬,愛きょう,愛嬌,愛敬
あいぎ,間着,合着,間着
あいくち,合口,匕口,合い口,合口
あいけん,愛犬,あい犬,愛犬
あいことば,合い言葉,合い言葉,合言葉
あいごま,合駒,合い駒,合駒
あいさつじょう,挨拶状,あいさつ状,挨拶状
あいさつぶん,挨拶文,あいさつ文,挨拶文
あいさつまわり,挨拶回り,あいさつ回り,挨拶回り
あいさつまわり,挨拶廻り,挨拶まわり,挨拶廻り
あいしょう,相性,合い性,合性,相性
あいじ,藍地,あい地,藍地
あいじるし,合印,合い印,合印
あいず,合図,合図,相図
あいずり,藍摺り,藍摺,藍摺り
あいぞめ,藍染め,あい染め,アイ染め,藍染,藍染め
あいたけ,合い竹,合い竹,合竹
あいだがら,間柄,間がら,間柄
あいづち,相槌,合い槌,合づち,合槌,相づち,相槌
あいて,相手,あい手,合手,相手
あいなめつり,あいなめ釣り,あいなめ釣り,アイナメ釣り
あいのこ,合の子,あいの子,合の子,間の子
あいのて,合いの手,あいの手,合いの手,合の手,間の手
あいはん,相版,相板,相版
あいばん,間判,合い判,相判,間判
あいびき,合い挽き,合いびき,合い挽,合い挽き,合びき,合挽,合挽き
あいびき,逢い引き,媾曳,逢いびき,逢い引き,逢い曳き,逢びき,逢引,逢引き,逢曳,逢曳き
あいびきにく,合い挽き肉,あいびき肉,合いびき肉,合い挽き肉,合びき肉,合挽き肉,合挽肉
あいふ,合符,合い符,合符
あいふく,間服,合服,間服
あいふだ,合い札,合い札,合札
あいま,合間,あい間,あひ間,合い間,合ひ間,合間
あいみつもり,合い見積もり,合い見積もり,合見積,相見積,相見積もり
あいもの,相物,四十物,相物
あいよく,愛欲,愛慾,愛欲
あいろ,隘路,あい路,隘路
